timestamp,combo_id,action,scenario_id,gender,rater_id
2026-06-13T18:02:54.058874+00:00,VC0252,like,yaz_sicak,women,anonymous
2026-06-13T18:02:57.730404+00:00,VC0253,skip,yaz_sicak,women,anonymous
2026-06-13T18:02:58.745875+00:00,VC0254,skip,yaz_sicak,women,anonymous
2026-06-13T18:03:01.386949+00:00,VC0255,skip,yaz_sicak,women,anonymous
2026-06-13T18:03:02.743683+00:00,VC0256,skip,yaz_sicak,women,anonymous
2026-06-13T18:03:08.829274+00:00,VC0257,like,yaz_sicak,women,anonymous
2026-06-13T18:03:11.262835+00:00,VC0258,skip,yaz_sicak,women,anonymous
2026-06-13T18:03:12.227926+00:00,VC0259,skip,yaz_sicak,women,anonymous
2026-06-13T18:03:13.707966+00:00,VC0260,like,yaz_sicak,women,anonymous
2026-06-13T18:03:14.755085+00:00,VC0261,skip,yaz_sicak,women,anonymous
2026-06-13T18:03:16.694650+00:00,VC0262,skip,yaz_sicak,women,anonymous
2026-06-13T18:03:17.698637+00:00,VC0263,skip,yaz_sicak,women,anonymous
2026-06-13T18:03:18.283540+00:00,VC0264,skip,yaz_sicak,women,anonymous
2026-06-13T18:03:19.132141+00:00,VC0265,skip,yaz_sicak,women,anonymous
2026-06-13T18:03:24.635858+00:00,VC0121,like,sonbahar_yagmurlu,women,anonymous
2026-06-13T18:03:26.268934+00:00,VC0122,like,sonbahar_yagmurlu,women,anonymous
2026-06-13T18:03:29.656057+00:00,VC0123,skip,sonbahar_yagmurlu,women,anonymous
2026-06-13T18:03:35.407691+00:00,VC0124,like,sonbahar_yagmurlu,women,anonymous
2026-06-13T18:03:37.471385+00:00,VC0125,skip,sonbahar_yagmurlu,women,anonymous
2026-06-13T18:03:40.300323+00:00,VC0126,like,sonbahar_yagmurlu,women,anonymous
2026-06-13T18:03:41.769243+00:00,VC0127,skip,sonbahar_yagmurlu,women,anonymous
2026-06-13T18:03:44.402552+00:00,VC0128,skip,sonbahar_yagmurlu,women,anonymous
2026-06-13T18:03:50.619519+00:00,VC0129,like,sonbahar_yagmurlu,women,anonymous
2026-06-13T18:03:51.827684+00:00,VC0130,skip,sonbahar_yagmurlu,women,anonymous
2026-06-13T18:03:53.374322+00:00,VC0131,skip,sonbahar_yagmurlu,women,anonymous
2026-06-13T18:04:02.873106+00:00,VC0132,like,sonbahar_yagmurlu,women,anonymous
2026-06-13T18:04:07.141684+00:00,VC0133,skip,sonbahar_yagmurlu,women,anonymous
2026-06-13T18:04:09.705739+00:00,VC0134,skip,sonbahar_yagmurlu,women,anonymous
2026-06-13T18:04:11.719780+00:00,VC0135,skip,sonbahar_yagmurlu,women,anonymous
2026-06-13T18:04:15.134237+00:00,VC0136,skip,sonbahar_yagmurlu,women,anonymous
2026-06-13T18:04:16.334519+00:00,VC0137,skip,sonbahar_yagmurlu,women,anonymous
2026-06-13T18:04:17.365026+00:00,VC0138,skip,sonbahar_yagmurlu,women,anonymous
2026-06-13T18:04:18.231655+00:00,VC0139,skip,sonbahar_yagmurlu,women,anonymous
2026-06-13T18:04:19.022882+00:00,VC0140,skip,sonbahar_yagmurlu,women,anonymous
2026-06-13T18:04:20.348114+00:00,VC0141,skip,sonbahar_yagmurlu,women,anonymous
2026-06-13T18:04:50.510187+00:00,VC0142,skip,sonbahar_yagmurlu,women,anonymous
